   0 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   0 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
   1 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   1 TERMINATE    Activity 0 (old=0 new=0)         ] || [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
   2 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   2 RE_DO        Activity 0 (old=0 new=0)         ] || [State   2: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] [Posibility: 0.90] || [Time_cost:   2.00] || [Price_cost:  10.0]
   3 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   2 RE_DO        Activity 0 (old=0 new=0)         ] || [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 0.10] || [Time_cost:   2.00] || [Price_cost:  10.0]
   4 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   3 REPLACE      Activity 0 (old=0 new=3)         ] || [State   4: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   5.00, nextTimeCost=  3.00] [Posibility: 0.75] || [Time_cost:   5.00] || [Price_cost:  40.0]
   5 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   3 REPLACE      Activity 0 (old=0 new=3)         ] || [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] [Posibility: 0.25] || [Time_cost:   5.00] || [Price_cost:  40.0]
   6 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:   4 RE_COMPOSITE Activity 0 (old=2-1-0 new=6-5-4) ] || [State   6: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] [Posibility: 0.90] || [Time_cost:  14.00] || [Price_cost: 130.0]
   7 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:   4 RE_COMPOSITE Activity 0 (old=2-1-0 new=6-5-4) ] || [State   7: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] [Posibility: 0.10] || [Time_cost:  14.00] || [Price_cost: 130.0]
   8 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:   5 NO_ACTION    Activity 0 (old=4 new=4)         ] || [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
   9 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:   6 TERMINATE    Activity 0 (old=4 new=4)         ] || [State   8: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  10 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:   7 RE_DO        Activity 0 (old=4 new=4)         ] || [State   9: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] [Posibility: 0.70] || [Time_cost:   6.00] || [Price_cost:  50.0]
  11 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:   7 RE_DO        Activity 0 (old=4 new=4)         ] || [State  10: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] [Posibility: 0.30] || [Time_cost:   6.00] || [Price_cost:  50.0]
  12 [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   8 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  13 [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   9 TERMINATE    Activity 0 (old=0 new=0)         ] || [State  11: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
