   0 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   0 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
   1 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   1 TERMINATE    Activity 0 (old=0 new=0)         ] || [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
   2 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   2 RE_DO        Activity 0 (old=0 new=0)         ] || [State   1: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=NORMAL ] [Posibility: 0.48] || [Time_cost:   6.00] || [Price_cost:  23.0]
   3 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   2 RE_DO        Activity 0 (old=0 new=0)         ] || [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] [Posibility: 0.52] || [Time_cost:   6.00] || [Price_cost:  23.0]
   4 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   3 REPLACE      Activity 0 (old=0 new=21)        ] || [State   2: [(A0.s=21 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=NORMAL ] [Posibility: 0.62] || [Time_cost:   9.00] || [Price_cost:  23.0]
   5 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   3 REPLACE      Activity 0 (old=0 new=21)        ] || [State   3: [(A0.s=21 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] [Posibility: 0.38] || [Time_cost:   9.00] || [Price_cost:  23.0]
   6 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   4 RE_COMPOSITE Activity 0 (old=1-3-0 new=23-24-22)] || [State   4: [(A0.s=22 x= 1.00) (A1.s=23 x= 0.00) (A2.s=2 x= 0.00) (A3.s=24 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=NORMAL ] [Posibility: 0.48] || [Time_cost:   0.00] || [Price_cost: -16.0]
   7 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   4 RE_COMPOSITE Activity 0 (old=1-3-0 new=23-24-22)] || [State   5: [(A0.s=22 x=-1.00) (A1.s=23 x= 0.00) (A2.s=2 x= 0.00) (A3.s=24 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] [Posibility: 0.52] || [Time_cost:   0.00] || [Price_cost: -16.0]
   8 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   2 RE_DO        Activity 0 (old=0 new=0)         ] || [State   1: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=NORMAL ] [Posibility: 0.48] || [Time_cost:   6.00] || [Price_cost:  23.0]
   9 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   2 RE_DO        Activity 0 (old=0 new=0)         ] || [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] [Posibility: 0.52] || [Time_cost:   6.00] || [Price_cost:  23.0]
  10 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=FAILED ] || [Action:   5 REPLACE      Activity 0 (old=0 new=25)        ] || [State   6: [(A0.s=25 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00) (A3.s=3 x= 0.00) (A4.s=4 x= 0.00) (A5.s=5 x= 0.00) (A6.s=6 x= 0.00) (A7.s=7 x= 0.00) (A8.s=8 x= 0.00) (A9.s=9 x= 0.00) (A10.s=10 x= 0.00) (A11.s=11 x= 0.00) (A12.s=12 x= 0.00) (A13.s=13 x= 0.00) (A14.s=14 x= 0.00) (A15.s=15 x= 0.00) (A16.s=16 x= 0.00) (A17.s=17 x= 0.00) (A18.s=18 x= 0.00) (A19.s=19 x= 0.00) (A20.s=20 x= 0.00)] Global_state=NORMAL ] [Posibility: 0.67] || [Time_cost:   8.00] || [Price_cost:   7.0]
